id  order_list_id  product_id  product_count  cell_id  cost
1  1  10  2  460  40
2  1  10  2  461  40
3  1  10  2  462  40
4  1  10  2  463  40
5  1  10  2  464  40
6  1  10  2  465  40
7  1  10  2  466  40
8  1  10  2  467  40
9  1  10  2  468  40
10  1  10  2  469  40
11  1  1  25  460  1250
12  1  1  25  461  1250
13  1  1  25  462  1250
14  1  1  25  463  1250
15  1  1  25  464  1250
16  1  1  25  465  1250
17  1  1  25  466  1250
18  1  1  25  467  1250
19  1  1  25  468  1250
20  1  1  25  469  1250
21  2  1  1  460  50
22  3  44  44  460  3080
23  3  45  54  460  189000
24  3  63  21  460  3150
25  4  51  23  460  4600
26  4  28  22  460  3300
27  4  19  22  460  3300
28  5  22  22  490  33000
29  6  23  23  490  6900
30  7  62  32  460  960
31  7  9  2  460  16
32  7  33  43  460  2150
33  8  56  31  490  1240
34  9  1  2  490  100
35  9  32  22  490  1320
36  10  43  34  550  5100
37  10  44  44  550  3080
38  10  55  55  550  2750
39  11  27  2  550  80
40  12  23  22  570  6600
41  13  43  22  570  3300
42  14  13  20  570  140000
43  15  13  20  610  140000
